Country,Continent,Rank,Title,Artists,Album,Explicit,Duration,Popularity
Belgium,Europe,9,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02,81
Belgium,Europe,10,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29,90
Belgium,Europe,11,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53,19
Belgium,Europe,12,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,1,3:43,56
Belgium,Europe,13,Don't Start Now,Dua Lipa,Future Nostalgia,0,3:03,58
Belgium,Europe,14,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,1,2:45,45
Belgium,Europe,15,Sunday Best,Surfaces,Where the Light Is,0,2:38,39
Belgium,Europe,16,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,1,3:16,37
Belgium,Europe,17,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,0,3:48,27
Belgium,Europe,18,Ride It,Regard,Ride It,0,2:37,16
Belgium,Europe,19,Falling,Trevor Daniel,Nicotine,0,2:39,2
Belgium,Europe,20,Never Seen The Rain,Tones And I,Never Seen The Rain (Alternate Version),0,3:20,55
Belgium,Europe,21,Before You Go,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),0,3:35,32
Belgium,Europe,22,In Your Eyes,The Weeknd,After Hours,1,3:57,80
Belgium,Europe,23,Break My Heart,Dua Lipa,Future Nostalgia,0,3:41,34
Belgium,Europe,24,In Your Eyes (feat. Alida),"Robin Schulz, Alida",In Your Eyes (feat. Alida),0,3:28,90
Belgium,Europe,25,Physical,Dua Lipa,Future Nostalgia,0,3:13,12
Belgium,Europe,26,Say So,Doja Cat,Hot Pink,1,3:57,34
Belgium,Europe,27,Zo Ver Weg - Uit Liefde Voor Muziek,"Regi, Jake Reese, OT",Vergeet De Tijd,0,4:05,45
Belgium,Europe,28,Blueberry Faygo,Lil Mosey,Certified Hitmaker,1,2:42,46
Belgium,Europe,29,If the World Was Ending - feat. Julia Michaels,"JP Saxe, Julia Michaels",If the World Was Ending (feat. Julia Michaels),0,3:28,78
Belgium,Europe,30,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,0,3:02,23
Belgium,Europe,31,goosebumps,Travis Scott,Birds In The Trap Sing McKnight,1,4:03,89
Belgium,Europe,32,Lose Control,"MEDUZA, Becky Hill, Goodboys",Lose Control,0,2:48,12
Belgium,Europe,33,Intentions (feat. Quavo),"Justin Bieber, Quavo",Changes,0,3:32,56
Belgium,Europe,34,ROXANNE,Arizona Zervas,ROXANNE,1,2:43,34
Belgium,Europe,35,MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,1,4:09,88
Belgium,Europe,36,Party Girl,StaySolidRocky,Party Girl,0,2:27,33
Belgium,Europe,37,Some Say,Nea,Some Say,0,2:55,76
Belgium,Europe,38,SICKO MODE,Travis Scott,ASTROWORLD,1,5:12,89
Belgium,Europe,39,Skechers,DripReport,Skechers,1,1:46,23
Belgium,Europe,40,"Alone, Pt. II","Alan Walker, Ava Max","Alone, Pt. II",0,2:59,43
Belgium,Europe,41,everything i wanted,Billie Eilish,everything i wanted,0,4:05,10
Belgium,Europe,42,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0,3:14,98
Belgium,Europe,43,Salt,Ava Max,Salt,0,3:00,65
Belgium,Europe,44,Tusa,"KAROL G, Nicki Minaj",Tusa,0,3:20,23
Belgium,Europe,45,Adore You,Harry Styles,Fine Line,0,3:27,87
Belgium,Europe,46,Little Submarine - Live Uit Liefde Voor Muziek,The Starlings,Don't Look Back,0,3:21,23
Belgium,Europe,47,Savage,Megan Thee Stallion,Suga,1,2:35,76
Belgium,Europe,48,Be Kind (with Halsey),"Marshmello, Halsey",Be Kind (with Halsey),0,2:52,18
Belgium,Europe,49,What A Man Gotta Do,Jonas Brothers,What A Man Gotta Do,0,3:00,19
Belgium,Europe,50,HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,1,2:55,13
Bolivia,South America,1,Rojo,J Balvin,Colores,0,2:30,45
Bolivia,South America,2,Favorito,Camilo,Por Primera Vez,0,3:29,65
Bolivia,South America,3,Blinding Lights,The Weeknd,After Hours,0,3:20,81
Bolivia,South America,4,Bajo La Mesa,"Morat, Sebastian Yatra",Bajo La Mesa,0,2:37,90
Bolivia,South America,5,Yo Perreo Sola,Bad Bunny,YHLQMDLG,0,2:52,19
Bolivia,South America,6,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",YHLQMDLG,1,4:55,56
Bolivia,South America,7,Tattoo,Rauw Alejandro,Tattoo,0,3:22,58
Bolivia,South America,8,Elegí (feat. Dímelo Flow),"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",Elegí (feat. Dímelo Flow),0,3:17,45
Bolivia,South America,9,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Hola (Remix),0,4:09,39
Bolivia,South America,10,PORFA,"Feid, Justin Quiles",FERXXO (VOL 1: M.O.R),0,3:52,37
Bolivia,South America,11,Relación,Sech,1 of 1,0,3:04,27
Bolivia,South America,12,Tusa,"KAROL G, Nicki Minaj",Tusa,0,3:20,16
Bolivia,South America,13,Pa' Olvidarme De Ella,"Piso 21, Christian Nodal",Pa' Olvidarme De Ella,1,3:47,2
Bolivia,South America,14,Sigues Con El,"Dímelo Flow, Arcangel, Sech",Sigues Con El,0,3:46,55
Bolivia,South America,15,Locura,"Cali Y El Dandee, Sebastian Yatra",Colegio,0,3:29,32
Bolivia,South America,16,Ignorantes,"Bad Bunny, Sech",YHLQMDLG,1,3:30,80
Bolivia,South America,17,Diosa,Myke Towers,Easy Money Baby,1,3:34,34
Bolivia,South America,18,Morado,J Balvin,Colores,0,3:20,90
Bolivia,South America,19,Jangueo,"Alex Rose, Rafa Pabön",LOST,0,4:19,12
Bolivia,South America,20,BYE ME FUI,Bad Bunny,LAS QUE NO IBAN A SALIR,1,2:58,34
Bolivia,South America,21,Amarillo,J Balvin,Colores,0,2:37,45
Bolivia,South America,22,Por Primera Vez,"Camilo, Evaluna Montaner",Por Primera Vez,0,3:02,46
Bolivia,South America,23,Tak Tiki Tak,Harry Nach,Tak Tiki Tak,1,3:32,78
Bolivia,South America,24,Azul,J Balvin,Colores,0,3:25,23
Bolivia,South America,25,Fantasias,"Rauw Alejandro, Farruko",Fantasias,0,3:19,89
Bolivia,South America,26,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29,12
Bolivia,South America,27,Don't Start Now,Dua Lipa,Future Nostalgia,0,3:03,56
Bolivia,South America,28,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53,34
Bolivia,South America,29,Si Veo a Tu Mamá,Bad Bunny,YHLQMDLG,0,2:50,88
Bolivia,South America,30,Tutu,"Camilo, Pedro Capó",Por Primera Vez,0,2:59,33
Bolivia,South America,31,La Difícil,Bad Bunny,YHLQMDLG,1,2:43,76
Bolivia,South America,32,LA CANCIÓN,"J Balvin, Bad Bunny",OASIS,0,4:02,89
